epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7206,1.72444,2.18671,1.59529,0.49724,0.592,0.55272,0.31314,1.44859,1.28647,1.42633,0.00331995,0.00331995,0.00331995
2,88.9005,1.44868,1.53,1.37241,0.59966,0.66442,0.67106,0.40669,1.23874,0.98089,1.24841,0.00662035,0.00662035,0.00662035
3,130.859,1.41076,1.4445,1.34639,0.60758,0.64124,0.66375,0.40919,1.22041,1.1255,1.25943,0.00988775,0.00988775,0.00988775
4,172.839,1.43378,1.42163,1.35961,0.7004,0.67101,0.72309,0.45939,1.25,0.97736,1.30402,0.0098515,0.0098515,0.0098515
5,214.893,1.38717,1.35375,1.34373,0.72237,0.66815,0.74817,0.48565,1.22527,0.97329,1.3041,0.009802,0.009802,0.009802
6,256.645,1.34006,1.28963,1.31727,0.73372,0.68786,0.77482,0.51147,1.15389,0.8859,1.24702,0.0097525,0.0097525,0.0097525
7,298.671,1.30718,1.24164,1.30821,0.77713,0.70952,0.79645,0.54218,1.08337,0.82356,1.2136,0.009703,0.009703,0.009703
8,340.641,1.27821,1.21054,1.29946,0.75523,0.72636,0.80338,0.50969,1.28461,0.85167,1.32531,0.0096535,0.0096535,0.0096535
9,382.396,1.24083,1.16016,1.27823,0.76196,0.72095,0.79682,0.54283,1.17239,0.82984,1.25841,0.009604,0.009604,0.009604
10,424.355,1.21655,1.13363,1.2728,0.77694,0.7365,0.81023,0.55255,1.13519,0.80647,1.25391,0.0095545,0.0095545,0.0095545
11,466.353,1.21016,1.12172,1.2602,0.81279,0.73247,0.83045,0.56411,1.10715,0.76289,1.22189,0.009505,0.009505,0.009505
12,508.356,1.18397,1.10593,1.25297,0.75952,0.7454,0.82063,0.57143,1.13071,0.78975,1.25481,0.0094555,0.0094555,0.0094555
13,550.281,1.16824,1.06875,1.2395,0.82779,0.73844,0.84012,0.58339,1.09878,0.73858,1.22522,0.009406,0.009406,0.009406
14,592.227,1.14516,1.03993,1.22586,0.81246,0.75933,0.84657,0.59212,1.06911,0.74274,1.19217,0.0093565,0.0093565,0.0093565
15,634.092,1.1311,1.02351,1.22147,0.82097,0.74677,0.84209,0.61042,1.01705,0.70308,1.18045,0.009307,0.009307,0.009307
16,676.084,1.1265,1.0105,1.21268,0.81715,0.76244,0.84919,0.6299,0.92558,0.67317,1.13294,0.0092575,0.0092575,0.0092575
17,718.119,1.10515,0.99562,1.20009,0.804,0.75257,0.84072,0.60519,1.0293,0.7041,1.18198,0.009208,0.009208,0.009208
18,760.009,1.08929,0.97375,1.19678,0.82619,0.77748,0.86583,0.62578,1.01172,0.66158,1.18021,0.0091585,0.0091585,0.0091585
19,801.926,1.08899,0.97095,1.2065,0.82637,0.77901,0.85973,0.6136,1.07556,0.68676,1.21674,0.009109,0.009109,0.009109
20,843.953,1.06522,0.94042,1.1777,0.81401,0.79092,0.85942,0.61302,1.06024,0.69222,1.20395,0.0090595,0.0090595,0.0090595
21,885.834,1.06846,0.94735,1.17803,0.84134,0.78601,0.87401,0.64787,0.94084,0.64104,1.13359,0.00901,0.00901,0.00901
22,928.161,1.05804,0.93259,1.17448,0.82594,0.78862,0.86826,0.64121,0.94775,0.65863,1.12803,0.0089605,0.0089605,0.0089605
23,969.949,1.03629,0.89724,1.16122,0.81994,0.80351,0.87244,0.6311,1.01624,0.64926,1.15388,0.008911,0.008911,0.008911
24,1012.04,1.04193,0.90952,1.16896,0.8434,0.79376,0.88126,0.63594,1.0308,0.63706,1.17166,0.0088615,0.0088615,0.0088615
25,1054.08,1.03366,0.90117,1.16625,0.82971,0.78202,0.86902,0.65406,0.92581,0.64864,1.13795,0.008812,0.008812,0.008812
26,1096.01,1.02231,0.8812,1.16598,0.84105,0.81219,0.88693,0.67099,0.89813,0.59119,1.1174,0.0087625,0.0087625,0.0087625
27,1138,1.0124,0.88276,1.14787,0.831,0.79844,0.87265,0.65868,0.8394,0.60152,1.08563,0.008713,0.008713,0.008713
28,1179.88,1.01522,0.86909,1.15844,0.84929,0.80861,0.88748,0.6542,0.97226,0.60714,1.14468,0.0086635,0.0086635,0.0086635
29,1221.45,1.01514,0.87252,1.16509,0.84174,0.80118,0.87799,0.6699,0.87491,0.60838,1.11619,0.008614,0.008614,0.008614
30,1263.18,0.99003,0.853,1.14007,0.83665,0.8009,0.87973,0.66281,0.90528,0.61155,1.10446,0.0085645,0.0085645,0.0085645
31,1304.97,0.99126,0.84653,1.13311,0.83455,0.81027,0.8848,0.66506,0.92664,0.60525,1.11967,0.008515,0.008515,0.008515
32,1346.84,0.99454,0.85333,1.14642,0.83612,0.80448,0.88426,0.68064,0.87915,0.58756,1.10566,0.0084655,0.0084655,0.0084655
33,1388.73,0.97378,0.83381,1.13063,0.85892,0.81049,0.88804,0.65961,0.95013,0.6102,1.12177,0.008416,0.008416,0.008416
34,1430.83,0.96664,0.8237,1.12446,0.85664,0.80403,0.88824,0.67793,0.87981,0.57485,1.0954,0.0083665,0.0083665,0.0083665
35,1472.52,0.95798,0.81774,1.12017,0.85951,0.8107,0.89085,0.66742,0.95395,0.59435,1.13564,0.008317,0.008317,0.008317
36,1514.3,0.9629,0.82112,1.12597,0.84988,0.83138,0.89439,0.66776,0.91918,0.56922,1.11389,0.0082675,0.0082675,0.0082675
37,1556.16,0.95787,0.80702,1.11452,0.85845,0.80268,0.89027,0.68058,0.88845,0.58051,1.10169,0.008218,0.008218,0.008218
38,1598.15,0.94667,0.80518,1.11611,0.8532,0.81837,0.89327,0.6749,0.92656,0.57646,1.12,0.0081685,0.0081685,0.0081685
39,1640.45,0.94246,0.79212,1.10695,0.86571,0.80867,0.89348,0.67942,0.93582,0.59012,1.13597,0.008119,0.008119,0.008119
40,1682.6,0.93997,0.7965,1.11861,0.86713,0.81934,0.90166,0.68156,0.93152,0.5608,1.13305,0.0080695,0.0080695,0.0080695
41,1724.51,0.94241,0.79964,1.12529,0.84942,0.83505,0.89894,0.69384,0.84694,0.54818,1.08324,0.00802,0.00802,0.00802
42,1766.6,0.92917,0.78345,1.11009,0.85302,0.8368,0.89981,0.69154,0.87472,0.56136,1.09429,0.0079705,0.0079705,0.0079705
43,1808.42,0.9352,0.7819,1.1101,0.84966,0.81961,0.89019,0.68601,0.85973,0.56728,1.08306,0.007921,0.007921,0.007921
44,1850.26,0.92954,0.77333,1.10278,0.86605,0.82106,0.89748,0.69459,0.84782,0.56486,1.08219,0.0078715,0.0078715,0.0078715
45,1892.48,0.91735,0.76701,1.09873,0.8613,0.83059,0.9007,0.69092,0.88553,0.55961,1.09972,0.007822,0.007822,0.007822
46,1934.09,0.92059,0.76763,1.10932,0.86937,0.83046,0.90233,0.69678,0.85969,0.54704,1.09111,0.0077725,0.0077725,0.0077725
47,1975.94,0.90654,0.75423,1.0927,0.88076,0.82635,0.90364,0.70598,0.83855,0.54353,1.0824,0.007723,0.007723,0.007723
48,2018.2,0.91161,0.76264,1.10549,0.84848,0.83899,0.8944,0.70098,0.83599,0.55391,1.09859,0.0076735,0.0076735,0.0076735
49,2060.24,0.90121,0.74149,1.09649,0.86977,0.83223,0.90097,0.70011,0.82824,0.54353,1.09584,0.007624,0.007624,0.007624
50,2102.2,0.90392,0.7453,1.10106,0.86638,0.83818,0.9017,0.68659,0.92151,0.55375,1.12354,0.0075745,0.0075745,0.0075745
51,2144.12,0.89395,0.73409,1.09665,0.87604,0.82478,0.90164,0.70614,0.8442,0.54885,1.10863,0.007525,0.007525,0.007525
52,2186.06,0.8913,0.73593,1.10019,0.84914,0.84556,0.90112,0.69536,0.89053,0.54794,1.10856,0.0074755,0.0074755,0.0074755
53,2227.6,0.89661,0.73925,1.09855,0.85427,0.84471,0.90114,0.7064,0.82412,0.53571,1.08337,0.007426,0.007426,0.007426
54,2269.47,0.88465,0.72179,1.08331,0.86297,0.83617,0.90069,0.69883,0.85196,0.5412,1.08098,0.0073765,0.0073765,0.0073765
55,2311.27,0.87833,0.72578,1.0811,0.87006,0.83834,0.90858,0.70602,0.86677,0.5288,1.10047,0.007327,0.007327,0.007327
56,2353.19,0.87463,0.72267,1.08402,0.85999,0.85292,0.90758,0.71093,0.83157,0.52685,1.09044,0.0072775,0.0072775,0.0072775
57,2395.4,0.87279,0.71605,1.07427,0.86816,0.84072,0.90471,0.69927,0.89734,0.54317,1.09893,0.007228,0.007228,0.007228
58,2437.21,0.87868,0.72331,1.08022,0.85754,0.84463,0.9055,0.71642,0.80014,0.52708,1.05706,0.0071785,0.0071785,0.0071785
59,2479.06,0.87641,0.72079,1.07547,0.86989,0.84133,0.90854,0.70356,0.86406,0.53614,1.07555,0.007129,0.007129,0.007129
60,2520.89,0.85318,0.69615,1.05962,0.86941,0.84369,0.90831,0.71332,0.82853,0.53183,1.06074,0.0070795,0.0070795,0.0070795
61,2562.74,0.86448,0.70418,1.0673,0.87011,0.84246,0.9064,0.71978,0.79446,0.52648,1.04832,0.00703,0.00703,0.00703
62,2604.71,0.86299,0.69663,1.06949,0.87107,0.82695,0.90452,0.71879,0.79875,0.52808,1.05726,0.0069805,0.0069805,0.0069805
63,2646.49,0.85501,0.69655,1.06614,0.8723,0.83919,0.90674,0.71178,0.82719,0.53468,1.06649,0.006931,0.006931,0.006931
64,2688.41,0.85384,0.6932,1.064,0.87418,0.84372,0.9091,0.71357,0.82827,0.52606,1.06822,0.0068815,0.0068815,0.0068815
65,2730.12,0.8499,0.68745,1.05841,0.86312,0.84512,0.9073,0.71343,0.82058,0.52365,1.06487,0.006832,0.006832,0.006832
66,2772.1,0.84504,0.67967,1.06166,0.88588,0.83067,0.91085,0.71931,0.81889,0.52327,1.06725,0.0067825,0.0067825,0.0067825
67,2814.09,0.83955,0.68335,1.06112,0.8721,0.84063,0.91027,0.72012,0.82251,0.51947,1.06289,0.006733,0.006733,0.006733
68,2856.19,0.83855,0.67396,1.05631,0.86843,0.84796,0.91037,0.72451,0.78587,0.51817,1.04944,0.0066835,0.0066835,0.0066835
69,2898.17,0.84684,0.68208,1.05767,0.86654,0.8472,0.90934,0.72286,0.7894,0.51505,1.04765,0.006634,0.006634,0.006634
70,2940.15,0.83479,0.67298,1.05669,0.8658,0.846,0.90817,0.71729,0.80756,0.5182,1.05838,0.0065845,0.0065845,0.0065845
71,2981.86,0.8383,0.67309,1.05699,0.87934,0.8425,0.90973,0.71788,0.84458,0.52086,1.08123,0.006535,0.006535,0.006535
72,3023.73,0.83413,0.66022,1.05447,0.87804,0.83824,0.91059,0.73038,0.76491,0.52472,1.04069,0.0064855,0.0064855,0.0064855
73,3065.43,0.83105,0.66589,1.04627,0.8779,0.83552,0.90888,0.72968,0.77068,0.51297,1.0361,0.006436,0.006436,0.006436
74,3106.97,0.82988,0.65875,1.04464,0.88306,0.83665,0.90864,0.72792,0.7703,0.52227,1.03868,0.0063865,0.0063865,0.0063865
75,3148.81,0.82745,0.66319,1.05224,0.87588,0.84134,0.91116,0.72929,0.78474,0.51731,1.04895,0.006337,0.006337,0.006337
76,3190.63,0.82724,0.65912,1.05894,0.88001,0.84272,0.90914,0.72559,0.79096,0.52219,1.04976,0.0062875,0.0062875,0.0062875
77,3232.32,0.81622,0.64224,1.04096,0.86459,0.85871,0.91071,0.72519,0.80951,0.52021,1.05653,0.006238,0.006238,0.006238
78,3273.88,0.81328,0.64747,1.04691,0.84951,0.86104,0.90661,0.72365,0.79346,0.52479,1.05562,0.0061885,0.0061885,0.0061885
79,3315.83,0.81195,0.64768,1.04426,0.87631,0.85161,0.91378,0.72986,0.7975,0.51202,1.05887,0.006139,0.006139,0.006139
80,3357.76,0.81088,0.63734,1.04444,0.87816,0.83621,0.91197,0.72885,0.80965,0.52174,1.05899,0.0060895,0.0060895,0.0060895
81,3400.04,0.81051,0.64267,1.04196,0.87688,0.84858,0.9128,0.72972,0.78507,0.51277,1.06068,0.00604,0.00604,0.00604
82,3441.82,0.80608,0.6356,1.04442,0.87096,0.85235,0.91244,0.7346,0.77167,0.50817,1.04667,0.0059905,0.0059905,0.0059905
83,3483.77,0.80468,0.63215,1.04079,0.87038,0.84298,0.90729,0.72643,0.78185,0.53171,1.04727,0.005941,0.005941,0.005941
84,3525.49,0.79838,0.63132,1.0344,0.87777,0.84972,0.9137,0.73473,0.76449,0.50602,1.04182,0.0058915,0.0058915,0.0058915
85,3567.46,0.79193,0.62425,1.04221,0.87098,0.85397,0.90848,0.72579,0.79917,0.5342,1.06139,0.005842,0.005842,0.005842
86,3609.33,0.79925,0.62965,1.03931,0.86929,0.85622,0.91002,0.72849,0.7937,0.52342,1.05584,0.0057925,0.0057925,0.0057925
87,3651.36,0.79222,0.61929,1.03694,0.86994,0.85616,0.9123,0.73297,0.78453,0.51367,1.05173,0.005743,0.005743,0.005743
88,3692.94,0.79546,0.62556,1.03397,0.87391,0.8616,0.91461,0.73253,0.77661,0.5117,1.04562,0.0056935,0.0056935,0.0056935
89,3734.48,0.78541,0.60948,1.03398,0.87354,0.85851,0.91132,0.7321,0.78184,0.51258,1.05375,0.005644,0.005644,0.005644
90,3776.04,0.79483,0.62799,1.0448,0.88072,0.85699,0.91445,0.74164,0.75691,0.49665,1.0488,0.0055945,0.0055945,0.0055945
91,3817.92,0.78413,0.61148,1.0232,0.86726,0.86026,0.91162,0.73494,0.77884,0.51804,1.04172,0.005545,0.005545,0.005545
92,3859.51,0.78953,0.61864,1.03184,0.86407,0.86547,0.91078,0.73614,0.76199,0.50621,1.03661,0.0054955,0.0054955,0.0054955
93,3900.66,0.78649,0.60739,1.02594,0.8751,0.8602,0.91358,0.73866,0.76826,0.50651,1.0413,0.005446,0.005446,0.005446
94,3942.82,0.77782,0.60289,1.02896,0.88035,0.8489,0.90943,0.7287,0.79613,0.51768,1.05332,0.0053965,0.0053965,0.0053965
95,3984.47,0.77375,0.59615,1.01326,0.87953,0.85522,0.91187,0.73635,0.77485,0.50786,1.03933,0.005347,0.005347,0.005347
96,4026.14,0.77281,0.60238,1.02895,0.86788,0.86334,0.91284,0.73645,0.79101,0.51426,1.05412,0.0052975,0.0052975,0.0052975
97,4067.74,0.77592,0.60558,1.02216,0.88257,0.8571,0.9115,0.73437,0.76314,0.51192,1.03193,0.005248,0.005248,0.005248
98,4109.67,0.76389,0.59879,1.02096,0.88103,0.85646,0.91449,0.73405,0.794,0.50893,1.04827,0.0051985,0.0051985,0.0051985
99,4151.19,0.76312,0.58971,1.01924,0.88243,0.85673,0.91451,0.73794,0.76593,0.51283,1.04261,0.005149,0.005149,0.005149
100,4192.88,0.76933,0.5936,1.0214,0.86713,0.86369,0.91313,0.74146,0.74878,0.50295,1.03383,0.0050995,0.0050995,0.0050995
101,4234.45,0.76343,0.59251,1.01778,0.88806,0.84946,0.91459,0.73741,0.78642,0.52143,1.04706,0.00505,0.00505,0.00505
102,4275.99,0.76012,0.58843,1.01692,0.87954,0.85559,0.91484,0.73721,0.78811,0.50544,1.0492,0.0050005,0.0050005,0.0050005
103,4317.7,0.76174,0.58474,1.01503,0.88344,0.84917,0.91425,0.73438,0.79199,0.5138,1.0497,0.004951,0.004951,0.004951
104,4359.44,0.75975,0.57736,1.01309,0.88326,0.84942,0.91429,0.7336,0.79129,0.51308,1.04734,0.0049015,0.0049015,0.0049015
105,4401.15,0.75933,0.57754,1.01946,0.87462,0.86125,0.91823,0.74188,0.75572,0.49878,1.03064,0.004852,0.004852,0.004852
106,4442.89,0.74761,0.57306,1.00535,0.87665,0.86529,0.9175,0.74505,0.75518,0.49806,1.03065,0.0048025,0.0048025,0.0048025
107,4484.63,0.75597,0.58615,1.02182,0.87386,0.86395,0.91475,0.74349,0.75154,0.50798,1.03619,0.004753,0.004753,0.004753
108,4526.36,0.74996,0.57284,1.01163,0.88063,0.85151,0.91325,0.74286,0.75514,0.50607,1.04024,0.0047035,0.0047035,0.0047035
